id,form_factor,aspect_ratio,rect,narrow_factor,prd,plw,mean_h,mean_s,mean_v,kelas
1,0.5441,1.5226,1.3921,0.7751,4.2591,1.9924,176.27641826976466,0.13198039491013236,0.35884546249012805,0
4,0.565,1.5315,1.3531,0.7839,4.1794,1.9819,182.51649056518656,0.1481885513113715,0.36591303220534693,0
45,0.5735,1.6146,1.3692,0.7589,4.1484,1.9442,177.32474635309205,0.13918974124668235,0.36216034307575434,0
47,0.5566,1.4909,1.372,0.7889,4.2109,1.9884,181.93932481109476,0.13878755336656703,0.36291806918655034,0
48,0.5541,1.4873,1.3708,0.7903,4.2205,1.9944,182.0078348005465,0.1385519904178251,0.362748535810216,0
51,0.52,1.441,1.3932,0.7964,4.3565,2.0481,185.874771527589,0.1291660843061573,0.3608203440057299,1
56,0.6239,1.459,1.3154,0.8145,3.9774,1.9222,189.87088563670764,0.12940333018581796,0.36427561829836025,1
87,0.5886,1.3956,1.336,0.8264,4.095,1.9714,184.72804780033943,0.14113917834017078,0.3664467640864525,1
89,0.6066,1.3569,1.3638,0.8295,4.0335,1.9262,175.63488574622593,0.13650995764780904,0.36163245348139766,1
100,0.4266,1.5609,1.4348,0.754,4.8102,2.2106,181.6170628542599,0.1262893932796392,0.36236332732805304,1
